Dataset,M3calc_F,M3calc_len,M3fixed_F,M3fixed_len
Java,0.910,5,0.754,3
Turing,0.907,7,0.762,3
Monogramma,0.888,5,0.834,4
Youtube,0.925,5,0.865,3
Seven Against Thebes,0.844,6,0.779,5
Electra,0.783,6,0.783,6
Oidypous Tyrannos,0.791,6,0.791,6
Lysistrata,0.822,6,0.822,6
Autumn,0.775,6,0.775,6
Erwtokritos,0.654,6,0.790,9
