Dataset,M4calc_F,M4calc_len,M4fixed_F,M4fixed_len
Java,0.919,7,0.910,5
Turing,0.920,8,0.899,5
Monogramma,0.911,6,0.888,5
Youtube,0.865,3,0.760,2
Seven Against Thebes,0.892,10,0.891,9
Electra,0.855,10,0.855,10
Oidypous Tyrannos,0.857,11,0.856,10
Lysistrata,0.875,11,0.874,10
Autumn,0.885,11,0.882,10
Erwtokritos,0.805,11,0.799,10
